ModelName,Nr,Manufacturer,Type,Model,Initial service date,Africa,Middle East/Asia/Pacific,Europe & CIS,North & South America,Total aircraft delivered,Africa2,Middle East/Asia/Pacific3,Europe & CIS4,North & South America5,Total aircraft ordered,Total aircraft (delivered and ordered),Engine Manufacturer,Model / Type,No. of engines,Static thrust (kN),Max. seats (single class),Two class seating,Three class seating,No. abreast,Hold volume (m³),Volume per passenger,Ramp,Max. take-off,Max. landing,Zero-fuel,Max. payload,Max. fuel payload,Design payload,Design fuel load,Operational empty,Ops empty/Max. T/O,Max. payload/Max. T/O,Max. fuel/Max. T/O,Max. landing/Max. T/O,Standard,Optional,Length (m),Height (m),Width (m),Finess Ratio,Area (m²),Span (m),MAC (m),Aspect Ratio,Taper Ratio,Average (t/c) %,1/4 Chord Sweep (º),Trailing Edge Flaps Type,Flap Span/Wing Span,Area (m2),Leading Edge Flaps Type,Area (m²)2,Area (m²)3,Height (m)4,Aspect Ratio5,Taper Ratio6,1/4 Chord Sweep (º)7,Tail Arm (m),Sv/S,SvLv/Sb,Area (m²)8,Span (m)9,Aspect Ratio10,Taper Ratio11,1/4 Chord Sweep (º)12,Tail Arm  (m),Sh/S,ShLh/Sc,Track (m),Wheelbase (m),Turning radius (m),No. of nose wheels,No. of main wheels,Main Wheel diameter (m),Main Wheel width (m),Length (m)13,Max. width (m),Spanwise location,Max. power load (kg/kN),Max. wing load (kg/m2),Thrust/Weight Ratio,ISA sea level,ISA +20ºC SL.,ISA 5000ft,ISA +20ºC 5000ft,ISA sea level.,ISA +20ºC SL.14,ISA 5000ft15,ISA +20ºC 5000ft16,V2,Vapp,Vno,Mmo,Vne,Mne,CLmax (T/O),CLmax (L/D @ MLM),Speed (kt),Altitude (ft),Fuel consumption (kg/h),Speed (kt)17,Altitude (ft)18,Fuel consumption (kg/h)19,Max. payload20,Design range,Max. fuel (+ payload),Ferry range,W/SCLmax,W/SCLtoST,Fuel/pax/nm (kg),Seats x Range (seats.nm)
777-200IGW,35,BOEING,777,200IGW,1995,3,90,26,38,157,4,74,39,78,195,352,R-R/GE/PW,Options,2,373.66,440,375,310,10,160,0.363636363636364,287804,286897,208652,195045,56925,,29450,119327,138120,0.48142713238549,0.19841615632091,0.465931396982192,0.72727145979219,169208,,62.78,6.2,6.2,10.1258064516129,427.8,60.9,8.75,8.66949509116409,0.149,,31.6,S2/S1,0.758,,slats,,53.23,9.24,1.60393762915649,0.29,46,26.6,0.124427302477793,5.43475574040936E-02,101.26,21.35,4.50150602409639,0.3,35,27.9,0.236699392239364,0.754732919254658,11,25.8,41,2,12,1.1176,0.4572,7.3,3.2,0.326,383.901140073864,670.633473585788,0.265528774321672,,3050,,,1620,1620,1940,1940,,140,330,0.87,,,,2.54550174715467,499,39000,,476,39000,,,7380,,,,,,
777-200X1,36,BOEING,777,200X1,2000,0,0,0,0,0,0,0,0,0,0,0,R-R/GE/PW,Options,2,413.8,440,375,298,10,160,0.363636363636364,,299320,,,,,,,,,,,,174735,,62.78,6.2,6.2,10.1258064516129,427.8,60.9,8.75,8.66949509116409,0.149,,31.6,S2/S1,1.758,,slats,,53.23,9.24,1.60393762915649,0.29,46,26.6,0.124427302477793,5.43475574040936E-02,101.26,21.35,4.50150602409639,0.3,35,27.9,0.236699392239364,0.754732919254658,11,25.8,41,2,12,1.1176,0.4572,7.3,3.2,0.326,361.672305461576,699.672744273025,0.281848506632022,,,,,,,,,,,,,,,,,,,,,,,,7455,,,,,,
777-200X2,37,BOEING,777,200X2,2000,0,0,0,0,0,0,0,0,0,0,0,R-R/GE/PW,Options,2,436,440,375,298,10,160,0.363636363636364,,312925,,,,,,,,,,,,174735,,62.78,6.2,6.2,10.1258064516129,427.8,60.9,8.75,8.66949509116409,0.149,,31.6,S2/S1,2.758,,slats,,53.23,9.24,1.60393762915649,0.29,46,26.6,0.124427302477793,5.43475574040936E-02,101.26,21.35,4.50150602409639,0.3,35,27.9,0.236699392239364,0.754732919254658,11,25.8,41,2,12,1.1176,0.4572,7.3,3.2,0.326,358.858944954128,731.474988312295,0.284058125393909,,,,,,,,,,,,,,,,,,,,,,,,7970,,,,,,
777-300,38,BOEING,777,300,1998,0,11,0,0,11,0,37,0,0,37,48,R-R,Trent 895,2,423,550,479,394,10,200.5,0.364545454545455,299600,299370,237685,224530,68570,,,,155960,0.520960684103284,0.229047666766877,0.451696228747036,0.79395062965561,171170,,72.88,6.2,6.2,11.7548387096774,427.8,60.9,8.75,8.66949509116409,0.149,,31.6,S2/S1,2.758,,slats,,53.23,9.24,1.60393762915649,0.29,46,31.65,0.124427302477793,6.46654207458483E-02,101.26,21.35,4.50150602409639,0.3,35,32.95,0.236699392239364,0.891342282775663,11,25.8,41,2,12,1.1176,0.4572,7.3,3.2,0.326,353.86524822695,699.789621318373,0.288066713799284,,3540,,,1860,1860,,,,,330,0.87,,,,,,,,,,,,5604,,,,,,
DC8-63,39,DOUG.,DC8,63,1959,--->,--->,--->,--->,--->,--->,--->,--->,--->,--->,--->,PW,JT3D-3B,4,80.1,259,189,-,5,70.8,0.273359073359073,160120,158760,111130,100458,30719,15516.2,17955,71066,69739,0.439273116654069,0.193493323255228,0.457205782312925,0.699987402368355,91881,,55.7,3.8,3.8,14.6578947368421,271.9,45.23,7.1,7.52391651342405,0.181,11,30,S2,0.73,,flaps,,23.6,6.4,1.73559322033898,0.333,35,25.7,8.67966164030894E-02,0.049318440007946,51.1,14.48,4.10313894324853,0.341,35,24.95,0.187936741449062,0.660425591430155,,23.6,32.6,2,8,,,6,1.6,,469.704142011834,583.891136447223,0.217023419780567,3505,,,,1801,,,,,,352,0.88,406,0.95,,,,,,,,,,3907,,6686,,,9.62402308703819E-02,738423
DC8-73,40,DOUG.,DC8,73,1980,11,0,7,235,253,0,0,0,0,0,253,CFMI,CFM56-2C,4,98,259,189,-,5,70.8,0.273359073359073,162000,161000,117000,104800,29257,11988,17955,67545,75500,0.468944099378882,0.18172049689441,0.450888819875776,0.726708074534162,91890,,55.7,3.8,3.8,14.6578947368421,271.9,45.23,7.1,7.52391651342405,0.181,11,30,S2,0.73,,flaps,,23.6,6.4,1.73559322033898,0.333,35,25.7,8.67966164030894E-02,0.049318440007946,51.1,14.48,4.10313894324853,0.341,35,24.95,0.187936741449062,0.660425591430155,,23.6,32.6,2,8,,,4.7,2,,410.714285714286,592.129459360059,0.248193945840535,3048,3139,3962,4023,1981,1981,2286,2286,,,352,0.88,406,0.95,,,479,35000,4881,,,,4190,,,,,,,
DC 8-10,41,DOUG.,DC 8,10,1965,0,0,2,92,94,0,0,0,0,0,94,PW,JT8D-5,2,54.5,90,68,-,5,17,0.188888888888889,35605,35245,33565,30120,9570,3495,6460,8235,20550,0.583061427152788,0.27152787629451,0.313803376365442,0.952333664349553,14000,,27.91,3.6,3.6,7.75277777777778,86.77,27.25,3.67,8.55782528523683,0.194,11.65,24,S2,0.67,19.58,none,-,14.96,3.9,1.01671122994652,0.75,42,11.7,0.172409819061888,7.40255002944619E-02,25.6,11.23,4.92628515625,0.318,30,14.35,0.295032845453498,1.15360254284951,5.03,13.32,,2,4,1.024,0.358,5.3,1.56,-,323.348623853211,406.188774922208,0.315253542661686,1615,,,,1411,,,,127,115,425,,350,,2.19504769963339,2.99205155536186,501,25000,,431,35000,,,1311,,,1331.76578286097,1609.5069352307,9.23744783954772E-02,89148
DC 9-30,42,DOUG.,DC 9,30,1967,10,10,38,448,506,0,0,0,0,0,506,PW,JT8D-7,2,62,119,97,-,5,25.3,0.212605042016807,49500,49000,45000,39500,14000,12484,9215,14385,25400,0.518367346938776,0.285714285714286,0.224505102040816,0.918367346938776,13925,,32.28,3.6,3.6,8.96666666666667,92.97,28.47,3.73,8.71830590513069,0.206,11.6,24,S3,0.67,19.58,slats,11.58,14.96,4.9,1.60494652406417,0.75,42,13.1,0.160912122189954,7.40410537649594E-02,25.6,11.23,4.92628515625,0.318,30,15.82,0.275357642250188,1.16787075077694,5.03,16.22,19.8,2,4,1.024,0.358,5.3,1.56,-,395.161290322581,527.051737119501,0.257962512222014,1777,2000,2940,3860,1317,1310,1485,1485,137,126,425,,350,,2.44757270502705,3.11871932742237,503,26000,4050,431,35000,2100,1546,1725,1922,,1657.85279094532,2448.58025264752,0.085970416853429,167325
DC 9-40,43,DOUG.,DC 9,40,1968,0,0,22,47,69,0,0,0,0,0,69,PW,JT8D-15A,2,68.9,125,105,-,5,28.9,0.2312,52168,51710,46265,42184,15510,12792,9975,13935,27800,0.537613614387933,0.299941984142332,0.21273931541288,0.894701218333011,13925,,34.7,3.6,3.6,9.63888888888889,92.97,28.47,3.73,8.71830590513069,0.206,11.6,24,S3,0.67,19.58,slats,11.58,14.96,5.9,2.32687165775401,0.75,42,14.5,0.160912122189954,8.19538381367871E-02,25.6,11.23,4.92628515625,0.318,30,17.23,0.275357642250188,1.27196036889296,5.03,17.1,20.7,2,4,1.024,0.358,5.3,1.56,-,375.253991291727,556.200925029579,0.271647474910556,2091,2402,3734,3831,1457,1457,1655,1655,151,131,425,,350,,2.1261862185822,2.96629843996454,501,27000,3980,440,35000,2280,1423,1685,1790,,1839.44103567859,2579.91367239582,7.87621873675286E-02,176925
DC 9-50,44,DOUG.,DC 9,50,1975,2,0,18,72,92,0,0,0,0,0,92,PW,JT8D-15A,2,68.9,139,122,-,5,28.4,0.20431654676259,54700,54420,49885,44670,15265,12600,11590,13530,29300,0.53840499816244,0.280503491363469,0.234009555310548,0.916666666666667,16120,,37.14,3.6,3.6,10.3166666666667,92.97,28.47,3.73,8.71830590513069,0.206,11.6,24,S3,0.67,19.58,slats,11.58,14.96,6.9,3.18248663101604,0.75,42,15.72,0.160912122189954,8.88492645179513E-02,25.6,11.23,4.92628515625,0.318,30,18.45,0.275357642250188,1.36202372641179,5.03,18.6,23,2,4,1.024,0.358,5.3,1.56,-,394.920174165457,585.350112939658,0.258120009695422,2362,3130,3680,3570,1439,1439,1580,1525,160,132,425,,350,,1.99296296246613,3.15011916065074,501,27000,4525,441,35000,2650,1361,1500,1914,,1822.87853731598,2690.67370459542,7.39344262295082E-02,183000
